Victor,Win Probability,Confidence,FanProb,DogProb,FavConf,DogConf,Underdog
Stanford,0.777373481,8,0.9277,0.0723,3.3,2.8,@Northwestern
@Maryland,0.9,10,0.9872,0.0128,4.2,2.7,Richmond
@Auburn,0.750930039,6,0.9486,0.0514,4.3,3.5,Louisville
@UCLA,0.863629943,9,0.9286,0.0714,4.8,4.1,Virginia
Penn State,0.662521588,4,0.9633,0.0367,5.4,5,@Temple
@Nebraska,0.626493573,3,0.8611,0.1389,5.7,5.1,BYU
@Texas A&M,0.564067628,2,0.7059,0.2941,6.1,5.9,ASU
@Notre Dame,0.740588666,5,0.8144,0.1856,6.7,6.1,Texas
@Alabama,0.750930039,6,0.933,0.067,7.3,6.4,Wisconsin
@Iowa State,0.45,1,0.9073,0.0927,7.7,6.7,Northern Iowa
